Gene	sgRNA	ATRT_common|beta	ATRT_common|z	ATRT_common|p-value	ATRT_common|fdr	ATRT_common|wald-p-value	ATRT_common|wald-fdr
SLC25A24	4	0.42437	1.4639	0.48038	0.85509	0.14323	0.47241
FASTKD3	4	0.14084	0.67384	0.6284	0.91085	0.50041	0.65569
BCAS2	4	-0.90571	-2.9324	0.00083717	0.020592	0.0033634	0.087696
GPR18	4	0.5951	1.6411	0.12678	0.51884	0.10078	0.47241
ZNF470	4	0.082031	0.65667	0.48383	0.85716	0.51139	0.6633
CENPC	4	-0.28834	-1.0862	0.066293	0.38824	0.27738	0.51111
CIAPIN1	4	-0.086538	-0.68491	0.20364	0.63369	0.4934	0.65024
NDUFA12	4	0.2459	0.89239	0.93716	0.98983	0.37218	0.56974
QTRTD1	4	-0.093334	-0.74674	0.197	0.62677	0.45522	0.62356
STAP1	4	-0.051614	-0.22712	0.24503	0.68146	0.82033	0.88362
ABCG2	4	0.059539	0.18811	0.43413	0.82854	0.85079	0.90496
ENKUR	4	0.57962	0.86359	0.14577	0.55298	0.38781	0.58063
NAV1	4	0.54415	1.3279	0.20123	0.63029	0.18422	0.47241
COL4A5	4	-0.24135	-1.2269	0.085182	0.43379	0.21985	0.48329
RBKS	4	0.22707	1.2913	0.87573	0.97529	0.19661	0.47768
MFSD8	4	0.032844	0.20945	0.37887	0.79493	0.8341	0.89437
LLPH	4	-0.56158	-2.4519	0.01261	0.14501	0.014208	0.2347
FCAMR	4	0.33123	1.3332	0.78014	0.95508	0.18246	0.47241
STRN	4	0.35176	1.3416	0.71029	0.93681	0.17973	0.47241
TBC1D7	4	0.15514	0.61307	0.6667	0.92159	0.53983	0.68349
ABT1	4	-1.0437	-3.0623	0.00010465	0.0037037	0.0021968	0.066083
HIST1H2BF	4	0.22026	1.2539	0.85438	0.96977	0.20987	0.48154
FAM217A	4	0.098553	0.71123	0.5214	0.87242	0.47694	0.63851
SUCO	4	-0.20644	-1.1074	0.1037	0.47281	0.2681	0.50668
AVPR1B	4	0.006015	0.035044	0.33068	0.7563	0.97204	0.98336
MNS1	4	0.015861	0.086209	0.34868	0.77081	0.9313	0.95727
METTL17	4	-1.0392	-3.1022	0.00015697	0.0051282	0.0019208	0.059499
RPS20	4	-2.0617	-5.1046	0	0	3.3142e-07	0.00024362
MCTP2	4	0.10651	0.55337	0.54181	0.88255	0.58001	0.71086
CYP3A7-CYP3A51P	3	-0.15817	-0.65093	0.18329	0.61017	0.51509	0.66625
CYP3A4	3	0.17197	0.83122	0.72771	0.94201	0.40585	0.59156
SYT9	4	-0.059634	-0.34832	0.23493	0.67	0.7276	0.81828
CCR4	4	0.11989	0.5928	0.57477	0.89301	0.55332	0.69231
CYP7B1	4	0.20675	0.81119	0.81263	0.96227	0.41726	0.59901
TTLL2	4	0.13237	0.70716	0.60716	0.90276	0.47947	0.64036
PGK1	4	-1.0858	-3.304	5.2323e-05	0.0020243	0.00095308	0.037403
MPZ	4	0.18983	1.0226	0.76533	0.95194	0.3065	0.5294
EML1	4	0.0027166	0.016252	0.32514	0.75175	0.98703	0.9929
ALDH6A1	4	0.32938	1.5082	0.78621	0.9562	0.13151	0.47241
ZNF506	4	-0.12616	-0.45297	0.16477	0.58186	0.65057	0.76327
HOXC11	4	0.44519	0.56412	0.42042	0.8206	0.57267	0.7064
RPS3A	4	-1.8697	-3.8761	0	0	0.00010614	0.009614
OR10T2	4	-0.10652	-0.44929	0.18407	0.6103	0.65322	0.76464
TSHZ2	4	0.18355	1.0115	0.7478	0.94619	0.31179	0.53221
KIF3B	4	0.16704	1.0805	0.7005	0.93201	0.27993	0.51274
CRELD1	4	0.031194	0.1367	0.37589	0.79241	0.89127	0.93178
RAD50	4	-0.65209	-2.5261	0.0070113	0.097313	0.011535	0.20337
CEP152	4	-0.063712	-0.3913	0.23012	0.6639	0.69557	0.7953
CCDC167	4	0.49168	0.88716	0.30468	0.7374	0.37499	0.57183
BATF2	4	0.59407	1.5573	0.12793	0.52164	0.11939	0.47241
SLC25A13	4	0.45986	1.3279	0.38327	0.79845	0.1842	0.47241
LRRIQ3	4	-0.28205	-1.0864	0.068439	0.3922	0.27731	0.51111
FKBP5	4	-0.077184	-0.15112	0.21463	0.64721	0.87988	0.92443
SLC2A14	4	0.22936	0.71204	0.88321	0.97742	0.47644	0.63823
ACTR10	4	-1.1972	-3.6585	0	0	0.00025371	0.017318
ETAA1	4	-0.41104	-1.6495	0.033382	0.26931	0.099048	0.47241
EIF2B1	4	-0.38899	-1.4627	0.037202	0.28486	0.14356	0.47241
FAM162A	4	0.20705	1.2564	0.81373	0.96244	0.20896	0.48131
EEF1E1	4	-0.26263	-1.3285	0.075869	0.41111	0.184	0.47241
RBM28	4	-0.67868	-2.9243	0.0058602	0.085496	0.003452	0.089156
CEP44	4	0.41785	1.454	0.4977	0.86234	0.14594	0.47241
TIGD2	4	-0.24579	-1.3702	0.082723	0.42718	0.17061	0.47241
CSH2	4	-0.014134	-0.058108	0.2995	0.73281	0.95366	0.97148
NRXN3	4	0.21891	0.9713	0.85093	0.9697	0.3314	0.54425
PARPBP	4	-0.34566	-1.7519	0.047248	0.32541	0.07979	0.47241
RPL22	4	-0.099843	-0.40638	0.19035	0.61913	0.68446	0.7879
CAMK2D	4	0.43371	0.85217	0.45291	0.83952	0.39412	0.58434
OR4S1	4	0.40104	1.5746	0.55264	0.8862	0.11535	0.47241
ACP6	4	0.79224	1.477	0.015697	0.16676	0.13967	0.47241
EDEM3	4	0.25931	0.81652	0.9832	0.99761	0.4142	0.59696
EWSR1	4	-0.51835	-2.251	0.016482	0.1711	0.024384	0.33376
COG5	4	-1.3364	-3.9949	0	0	6.4731e-05	0.0072073
CXXC4	4	0.34395	1.4052	0.73593	0.94333	0.15996	0.47241
OR2A25	4	0.027303	0.12371	0.36872	0.78649	0.90154	0.93861
ZNF292	4	0.27556	1.1158	0.96573	0.99501	0.2645	0.50405
KCNRG	4	0.027436	0.27288	0.36888	0.78649	0.78494	0.85864
UBN2	4	0.27806	0.45999	0.95689	0.99348	0.64552	0.75955
PVALB	4	0.38956	1.3585	0.58769	0.89715	0.17432	0.47241
SMEK2	4	-0.28686	-1.8316	0.06666	0.38872	0.067005	0.47241
CSF2RA	4	0.21232	0.76623	0.83032	0.96591	0.44354	0.61572
C2CD2	4	-0.31065	-1.9137	0.057451	0.3581	0.055663	0.47241
MFN1	4	0.19535	1.3365	0.78035	0.95508	0.18138	0.47241
NUDCD3	4	-0.95056	-3.4081	0.00047091	0.013216	0.00065408	0.029481
TMEM257	4	-1.1388	-3.5378	0	0	0.00040355	0.022486
SLC17A8	4	0.39464	0.90269	0.57158	0.89066	0.36669	0.56679
NXPH1	4	0.30239	1.7209	0.87615	0.97547	0.08527	0.47241
MAN2A1	4	0.0060413	0.023674	0.33068	0.7563	0.98111	0.98934
ANKRD18A	4	-0.32778	-1.6896	0.052009	0.34146	0.091096	0.47241
TMEM194A	4	0.28787	0.85696	0.92607	0.98739	0.39147	0.58286
PIK3CB	4	-0.20577	-1.5165	0.10407	0.47346	0.12939	0.47241
ORC2	4	-0.02592	-0.15127	0.28197	0.71853	0.87977	0.92441
OLFML1	4	-0.1681	-1.4164	0.12929	0.52396	0.15665	0.47241
CCDC146	4	-0.015566	-0.090401	0.2973	0.73193	0.92797	0.95505
PALLD	4	-0.0043419	-0.023226	0.31472	0.74582	0.98147	0.98955
CEP162	4	-0.016119	-0.094742	0.29662	0.73105	0.92452	0.95335
RGS7BP	4	0.47908	1.5369	0.3345	0.75971	0.12431	0.47241
