,BT12,BT16,CHLA04,CHLA05,CHLA06,CHLA266
DDX21,1.172847756,0.052618459,0.024635134,0.237896407,1.105621066,0.093416127
RPS10,1.021414093,0.301787296,0.204873468,0.270521753,1.170186058,0.218663616
POLR2L,0.227554796,0.493904851,0.170479388,1.030639582,1.052269944,0.415199078
PRPF19,0.083489122,0.044969316,0.351770498,1.136547432,1.034119167,0.415678954
NOP56,1.01005841,0.239900162,0.537752086,0.060890134,1.108195182,0.26060528
CHEK1,0.217024483,1.103305896,0.1925388,0.105228916,1.062685323,0.474171627
ATP6V1B2,0.199710332,0.200377283,0.249769499,1.229106921,1.003964163,0.074824642
TCEB2,0.168941681,0.238165771,1.202219062,0.22327219,0.124976314,1.034699095
TICRR,0.058658291,1.111081668,0.456634529,1.052144008,0.295524727,0.160830435
HSPA5,0.160841452,1.152251999,0.010048776,1.014458373,0.359840833,0.392937439
HSD17B12,0.405343033,1.159080514,1.045430306,0.04854517,0.223663141,0.116574853
COPE,1.131131741,0.176419429,0.466992389,0.154846051,0.320062808,1.005775543
USP7,0.188989101,1.189380982,1.003759146,0.313315895,0.021928646,0.331877279
EIF2B3,1.045253954,0.225766217,0.031257103,0.60095536,1.00772016,0.381465831
DIS3,0.488409669,0.041282854,0.444962827,1.089434072,1.01823053,0.069039556
RPL9,0.121252113,1.027285553,0.212788223,0.199393727,1.155738149,0.419382438
EXOSC9,0.013157097,0.118848573,1.085587406,0.003047919,1.213868765,0.019541963
WDR77,0.249106667,0.386152909,0.003583353,1.024008122,0.623725213,1.008890405
RPS17,0.573952245,1.009535935,0.00640557,0.4721929,1.03898927,0.124807109
CDIPT,1.068725125,0.045045521,0.392249102,1.149444969,0.210294754,0.056188983
WDR74,0.332014112,1.126003273,0.162833628,0.36588005,1.040214728,0.21475624
UBA1,0.053286693,0.412930893,0.027560781,0.400457355,1.125510633,1.032189613
SRSF3,0.163409597,0.35988337,0.18176047,0.170132542,1.026008735,1.181427974
ZCRB1,0.092284277,0.215035353,0.032532814,1.204187467,1.023758245,0.33571311
PSMC6,0.424078852,0.36452642,1.085419869,0.306506735,0.281849737,1.001210439
ATP6V1C1,1.138580453,0.290794406,0.230663222,1.050232708,0.350258875,0.082851012
TCP1,1.055238119,1.033350102,0.23942195,0.367176934,0.432130713,0.326263745
SS18L2,0.073673114,0.447605396,1.098951009,0.284381196,1.042141341,0.293706979
OCLM,0.125841224,0.45353476,1.021420724,0.570356266,1.004584894,0.259498557
ATP5I,1.203983922,0.177593531,0.015829623,0.263829125,1.05523166,0.046687056
NAA15,1.002701008,0.095668576,0.350084336,1.175096654,0.043685787,0.383125622
PWP1,0.268463148,0.05305326,1.10781997,0.403349478,1.083932864,0.164052482
RNF113A,0.208185658,0.202472554,1.082382233,0.496039272,1.075251391,0.092511904
NAE1,0.136545275,0.106043773,1.12354847,0.021498097,1.168168675,0.096619801
C3orf38,0.055045664,0.121293165,0.388027797,0.38103391,1.113927665,1.054674051
KARS,0.404827123,0.282036409,1.1622537,0.192627688,1.014508955,0.077907777
TXNRD1,0.067271238,1.087397837,1.171965934,0.0660645,0.248715472,0.199947831
NANOGNB,0.318055413,1.020521486,1.138271515,0.040432002,5.83439E-05,0.476179099
HAUS5,0.016126174,1.042289232,0.171901922,1.008244918,0.412985563,0.602805616
MRPS2,0.226211176,1.040673044,1.212837211,0.190462363,0.157483089,0.021067737
NUDC,0.322956542,0.042860253,0.010132027,1.147631698,1.054180676,0.363415284
BIRC5,0.379532805,1.035158444,0.08412026,0.462136907,1.107011514,0.070336907
IKBKAP,0.458055102,1.058669476,1.087307937,0.033170856,0.166116524,0.353747899
PFDN2,1.158279068,0.135799439,0.227360418,0.04498426,0.452798496,1.023656178
FANCI,0.324164134,0.261748388,0.200162631,0.222317956,1.075947172,1.116207594
SEC22B,0.46845491,0.252570729,0.028051594,1.098159071,1.064228486,0.210005195
LRR1,0.296357381,0.267815988,1.059819825,0.29520992,1.084221447,0.34815293
KRT18,0.204441823,0.285314289,0.341246001,1.030893563,1.160701618,0.130565486
SF3B2,0.221671936,1.050704342,0.051383662,0.23614031,0.284985678,1.172147278
SF3B4,0.275142377,1.058052014,0.424714885,0.365592814,1.0028958,0.389420658
SUPT6H,0.261905807,0.023165567,1.187076205,0.015142261,1.083408054,0.119929824
NPIPA2,0.244860484,0.205941139,1.15984631,0.206432788,1.072994804,0.15850063
PDSS2,1.132966329,0.273211643,1.027631909,0.163700634,0.337927095,0.333750508
OR4F29,1.08157562,0.281453329,0.041993359,0.100208241,1.100131507,0.442210813
FECH,0.231536033,0.128727266,0.007685691,0.151178642,1.250812312,1.004510596
NAA35,0.168440202,0.147074838,1.046897533,0.257874046,1.076137411,0.544149208
MRPL57,0.588940784,1.033306007,1.07050738,0.237711932,0.169147838,0.144879644
ANAPC2,0.015727461,1.010826063,0.286225363,0.012839591,0.46448818,1.160521826
YME1L1,1.046566481,0.094704024,0.43905253,0.031875087,1.133560568,0.289229508
COPS3,0.043584437,1.098694418,0.1769799,0.075509932,1.190714651,0.053034177
RBM19,1.084028048,0.089339528,0.143371465,0.345898485,0.526919864,1.032338425
RABGGTA,0.135484581,1.174018157,0.1367404,1.05728947,0.309496264,0.194023391
NCAPG,0.301281453,0.037998893,1.104453717,0.383256982,1.09832414,0.037847061
SNAP23,0.035528632,0.378275038,0.234946123,0.492115212,1.011078881,1.096656196
EIF3B,0.114338208,1.219978863,0.27082686,0.117648179,1.034502781,0.088660753
GLE1,0.397031702,1.098380354,1.087694153,0.010247924,0.055527094,0.341066332
CDC73,0.00720569,0.146842989,1.009223829,0.357843058,1.082771602,0.571028149
WDR12,0.024972824,0.470390249,0.351961624,0.006216072,1.006453947,1.143639308
ORC1,0.257495153,0.009836258,1.236029357,1.028477137,0.110343275,0.050564095
TRNT1,0.119608315,0.158946712,0.071221736,0.095232688,1.07768592,1.204801941
STK11,1.198669762,0.032228552,0.111179744,0.091872593,0.090371599,1.095376764
OR52E4,0.094394924,1.110319946,1.139112346,0.067182536,0.2182568,0.274261591
SLC38A6,0.291965475,0.385535565,1.097047753,0.060397624,0.153329384,1.096409418
LDB1,0.009516568,0.210342443,0.252486142,1.024839887,1.205876548,0.232696931
INTS6,1.072455892,0.311448808,1.119374514,0.006120329,0.041410136,0.4058979
CBWD5,0.083347292,0.430901996,1.141644519,1.038843345,0.264251349,0.147196761
CKS1B,1.166157705,0.229114066,1.07416896,0.073859756,0.296146738,0.08516166
MIS18A,0.221377202,0.124495146,0.539118595,1.050500343,1.087977972,0.155768618
SSX5,0.507455267,0.152187513,1.0779658,1.046719969,0.029449825,0.357063757
RBBP5,1.046505536,0.338079895,0.061378775,0.162561148,1.06245295,0.546072398
SHFM1,1.046135506,1.004359822,0.077594153,0.32388515,0.620256581,0.260552967
TAF6,0.108681892,0.105306844,0.319895127,1.109999472,1.095264127,0.331255425
UBE3D,1.053087674,1.131136119,0.032712922,0.265085991,0.192381491,0.412131957
PIK3C3,0.347557704,0.049944737,0.519935277,1.005639764,1.101794559,0.218587638
UBE2L3,0.254292901,0.174764351,0.000773644,0.213945761,1.226509201,1.010624066
CINP,0.520849233,0.071179138,1.018730885,0.48199881,1.05836076,0.007301145
TMEM245,1.06266532,0.167006424,0.217224456,0.242150868,1.170282552,0.18475167
NELFB,0.372363487,1.030350974,0.068569208,0.011974893,1.200091434,0.146028717
CUL1,0.025194578,0.165094994,1.235331661,0.109018323,1.043355478,0.110704929
MRPS16,1.106173306,0.055545216,0.07828464,0.174519036,1.182218658,0.075734264
MRTO4,1.036433434,0.287796594,0.548992407,1.044442501,0.066838724,0.336043611
PGS1,0.059621003,0.341001146,1.008314167,0.196216255,0.268331954,1.191482231
NOL8,1.01520256,1.044308792,0.532587885,0.068008653,0.506950283,0.013264824
NDUFAF7,0.279656176,0.008565431,1.07045812,0.381261834,1.138129302,0.042499911
KAT5,0.336336885,0.117632467,1.005017882,1.110278356,0.169250608,0.517959494
OBFC1,0.183753288,1.139573437,1.031295627,0.306024022,0.159021272,0.389569816
MRPL19,1.085303872,0.335018366,1.143100766,0.043536151,0.259435954,0.025750629
GATB,0.296481123,1.060218776,1.04475393,0.493391953,0.136536818,0.317982798
MTG1,0.519901457,1.063457041,1.029370387,0.412942668,0.183120048,0.042074603
RNF40,0.310749295,0.364349778,1.020533513,0.034673839,1.178876677,0.070068846
LTV1,1.035883476,0.359858658,1.009919723,0.200051908,0.532714706,0.346944199
AURKAIP1,0.510868136,1.097425153,1.010595906,0.090887202,0.400621937,0.106188244
PGAM1,0.188937239,0.234693429,0.337082673,1.019909852,1.169453182,0.233295525
TOP1MT,0.068511384,0.076735547,1.092453293,0.149880703,1.182398529,0.205182396
THOC2,1.055438069,0.385044583,0.078741856,1.144756232,0.128771475,0.266849423
DDB1,1.018256093,0.122668578,1.014122281,0.0647569,0.435157589,0.626716876
FRG2B,0.318162483,0.063400963,1.088488613,0.440179503,1.067902922,0.206003673
TMED2,0.10997585,0.01760941,0.109088657,1.064739889,1.177526241,0.349460262
TLK2,0.053703437,1.116620628,0.436517741,0.359324077,1.023214249,0.22430348
TMED10,0.119868737,0.004436492,0.163499096,1.130185121,1.161004143,0.017247831
C18orf21,0.210210794,1.067574468,1.044622365,0.549364911,0.299050103,0.017151929
CHTF18,0.26834927,1.141202795,0.03713002,0.506396866,1.007249164,0.141223986
RAD54L2,1.019030214,0.385757768,0.555213514,0.032040112,1.07895385,0.077491998
NOB1,1.003276467,0.414838632,0.126515752,0.128898066,1.183913289,0.231819506
NUBPL,0.168993187,0.061010924,1.038570857,0.139605422,1.229218368,0.159024347
PAIP2,0.181308449,1.023110309,0.392984657,0.033895567,1.155523019,0.310193343
NUP37,0.127971621,1.021988977,0.459172359,0.20507437,1.042609013,0.515655075
POLR3D,0.028222535,0.525725085,1.087773485,0.177409894,1.007012542,0.400853597
MRPL36,0.112932104,1.014297743,1.168172254,0.325412127,0.392325308,0.025970778
TPT1,0.232808954,1.063908709,1.079554872,0.419552623,0.344732355,0.142342523
DGCR14,0.02329757,1.136034948,1.106493303,0.199161685,0.297716963,0.151394489
HIST1H2BM,0.495885361,1.015265139,0.156214006,0.53976071,1.028792667,0.125866186
OCRL,0.387286564,0.453093954,1.092671796,1.053457902,0.073806418,0.047212925
NIPBL,1.090918562,0.055962981,0.047456271,0.160757541,1.1561984,0.329456639
TFAP4,0.172421468,0.262650915,0.218561725,0.279526339,1.178007564,1.026813506
COPB2,0.402606891,0.232470271,0.242120664,1.028862724,1.112510199,0.309309018
UBE2J2,0.310483653,1.077383155,0.088013149,1.138191463,0.209585115,0.249720001
MKNK2,1.123651334,0.185024705,0.322303355,0.298335037,1.073225687,0.158567389
MRPL34,0.137473831,1.223322559,1.052981073,0.181220134,0.034780206,0.091814974
SCFD1,0.193551657,1.184243978,0.016694675,0.288674098,1.024519985,0.305807092
RNMTL1,1.094753476,0.420571286,1.082816519,0.008435311,0.116734335,0.324209212
ING3,1.052364267,0.254752072,0.31045112,0.144576274,1.157340169,0.193853126
ZC3H13,0.015287028,0.5785938,0.147372388,1.019094308,1.046962678,0.418640073
ST3GAL3,1.116708144,0.129223799,0.3290182,0.436782326,1.046674753,0.091493064
UBE2G2,1.074831323,0.156594557,0.365084169,0.19708557,1.071074488,0.409332026
PSG8,0.438944325,0.141258482,1.087538798,0.022071066,1.094928321,0.268225258
ELP6,0.090786925,0.184069945,1.122078748,0.255217809,1.139717583,0.037277896
ASH2L,1.002907164,1.227175203,0.064525634,0.025940472,0.108888338,0.371741539
METAP1,0.152754729,0.144392717,0.035273373,1.191700788,1.094638761,0.053426639
EED,0.513608021,0.128736396,1.039353551,0.022619276,1.072137661,0.395036465
TP53TG3B,0.148616809,0.026455498,0.117416857,0.25106233,1.138657536,1.127173376
LRIT2,0.487591242,0.519915031,1.031734909,0.102816342,0.135492214,1.032086986
EIF2B1,0.180433577,0.191933555,1.181464548,0.338811362,1.024932667,0.190087647
SEC16A,0.050898252,0.082370769,1.032555037,0.14441724,1.252333281,0.043888485
CACUL1,0.229141993,0.01365803,1.000844212,0.352671615,1.142988036,0.426011756
PPP1R35,1.014321255,0.191042677,0.075952394,1.00027534,0.404096156,0.657045303
COPS8,0.280305994,0.025389216,1.081445337,0.311923189,1.149137212,0.010685463
OR2D3,0.310477848,1.019272949,0.135938264,0.146001993,1.144661239,0.425802409
ASXL1,0.218918196,0.101161229,1.200961877,0.22359497,1.019209515,0.278236818
LUZP4,0.199171125,0.0073005,1.065008248,0.126494264,1.201510188,0.181862953
PRKCH,0.045102271,1.083447913,0.500989252,0.044442315,1.021844923,0.440046219
MX2,0.427453381,0.054503887,0.105929734,1.028641861,1.124802652,0.382718446
NPVF,0.203221365,1.01263156,0.151715598,0.12457776,1.108965992,0.57584916
UBIAD1,0.581054432,1.059783803,0.117139812,0.315025336,1.030066912,0.178606172
DDX17,0.224997955,1.196412005,1.039184998,0.180978397,0.26145265,0.06020609
SLC17A1,0.085422919,0.286924524,1.074353255,0.042558537,0.235600193,1.168541961
RPP14,0.279732844,0.064614552,1.18400747,0.06971032,0.1633887,1.072759096
EIF4B,0.081788263,0.130553318,1.174653972,1.073110996,0.333424935,0.019540381
HRH4,0.144817869,1.113732339,0.031818542,0.003131967,1.163748667,0.223520782
UBE2D3,1.141448647,0.116633682,0.466408067,0.149835049,1.04822817,0.106718862
GTF3C6,0.127936814,0.417295319,0.063533315,1.046080682,1.08853346,0.439246042
DCTN4,1.096732546,0.177391895,1.041525372,0.388832407,0.269958893,0.351472583
GOLGB1,0.233281402,1.000328298,0.079605673,0.067931971,1.253972621,0.167900563
COA1,0.192396655,0.380685411,1.173899038,0.132060171,1.007022493,0.274145342
G2E3,0.307426417,0.211925146,1.044129716,0.625035546,1.019689442,0.081243712
PSG3,1.054324063,0.166480145,0.509002006,0.309071086,1.028109873,0.340196869
SLCO1C1,0.360956494,0.110123914,1.012517604,0.155916099,1.133405029,0.43605173
SRPK2,0.267159545,0.287878181,1.02804725,0.183973272,1.170158925,0.228952776
C17orf53,0.320035874,0.170538529,1.005469206,0.172865262,1.217423328,0.110408484
APAF1,0.23854095,0.452451989,0.300586675,0.173938178,1.111488445,1.024225891
BAZ1B,0.055942478,0.030799579,1.248810449,0.100281217,1.036420041,0.137252092
IFNA14,0.413822198,0.155105349,1.145239212,1.021053839,0.126614641,0.318127526
TMCO6,1.118905153,0.171565423,0.354374807,1.10395057,0.199917181,0.03206238
RSRC2,0.113853895,0.226277557,1.040571418,1.125862828,0.242170925,0.439885991
CCDC68,0.458128872,0.186705809,1.162163291,1.028208899,0.020569603,0.116899072
GLYATL1,0.380276119,0.464573327,1.031048832,0.206861895,1.081818007,0.173333854
ZNF335,0.3928989,0.185269691,1.083997637,0.042810359,0.113860826,1.134955669
C14orf37,0.003674446,0.052229257,1.038961944,0.53541832,1.021504028,0.504321419
C2orf15,0.27426244,0.031554267,1.090588211,0.070028397,1.178553313,0.084714671
SSX4,0.051929872,0.371617616,1.090304426,0.161116395,1.139851661,0.10902412
RPS6KB1,1.176919155,0.138008585,0.263314708,0.333635393,0.069217115,1.037807005
LINGO2,1.039420933,0.440174424,0.067748262,0.334338541,0.238389492,1.104226259
MTUS2,0.104980866,0.498937811,0.444693902,0.213545388,1.012521638,1.066842246
MED18,0.333606062,1.045709094,0.0997212,0.104665631,1.097555883,0.486146093
PDPN,0.044240161,0.095720453,1.063060014,0.001157929,1.234655328,0.032792633
40422,0.474794269,0.250412653,1.00787904,0.509653656,1.0118451,0.281305987
TRAF3IP1,0.193533626,0.0107405,1.092544735,0.046909097,1.173267202,0.238087494
MIEF1,0.477826587,0.00031945,1.088891091,0.145238117,1.043175128,0.378623889
MTX3,0.322086226,0.545811507,1.016033244,0.085463941,1.051839887,0.344995859
DIS3L,0.306158024,0.052057884,0.389028487,0.038222348,1.04999662,1.146702618
RAP2C,0.003956131,0.446445932,1.065021754,0.389593326,0.072333407,1.084458685
MBIP,0.16691855,0.516781111,1.007192828,0.228704373,1.074606816,0.387581299
APOBEC3C,1.043875587,0.301880685,0.462186938,0.282728812,0.437787345,1.000324133
MBD4,1.062198288,0.259057468,1.102203603,0.475993442,0.004156607,0.17277406
PPA1,0.092516345,0.145878333,0.21271749,0.3608977,1.153543451,1.063328985
TSEN2,0.228569909,0.044821769,1.050373177,0.080696062,1.222318168,0.092499208
LIPK,0.329097969,0.455888259,1.10486315,0.210749061,0.245224596,1.012548394
TAF12,0.273771833,0.331810474,1.03049147,0.127723613,1.067103963,0.514471186
HTRA4,0.566323132,0.147041228,0.221975711,0.090957663,1.01010418,1.116452724
EXOC6B,0.155290139,0.18818963,1.032507352,0.289949566,1.20402595,0.085531474
SLCO1B7,0.243260199,0.22259129,0.127325917,0.225412301,1.076621912,1.154039395
RAF1,0.312412842,0.204866995,1.146831078,0.148966644,1.085913776,0.102338098
UST,0.128965899,0.261375979,0.482549635,1.071988809,1.092992637,0.071203929
OR5B12,0.312947138,0.297902764,1.038694584,0.353991214,1.081314668,0.326415504
TSPAN3,0.256028608,1.147961082,1.087744569,0.010373761,0.110765253,0.296203596
GTPBP3,0.176269617,1.019978657,1.026148633,0.248035706,0.527690598,0.449754527
FANCL,0.321309297,0.145101654,0.245312108,1.002226792,1.099404076,0.518697036
LRAT,0.112902404,0.015390526,0.054244258,0.36106089,1.208288232,1.02976453
ASPSCR1,0.163205644,1.085467177,0.042252584,0.060898035,0.155054535,1.196768913
MSH2,0.018585761,0.18809801,1.214913064,0.072241908,0.046403017,1.071239698
MRPL2,0.423161412,1.030698066,0.351672517,0.269287474,1.001216848,0.476065229
HOXB5,0.030445585,1.112008167,1.190510234,0.02756921,0.038388178,0.098128678
TPTE2,0.259155976,0.125723237,1.231395761,0.008301099,1.030302858,0.075961263
ZNF14,0.2890727,0.003784293,1.152024837,1.049616323,0.004997254,0.392694175
OR5H14,0.019366337,0.212989674,0.337262993,0.170910749,1.126649097,1.099378012
LOC79999,0.533935085,0.116852663,1.061540314,0.035844067,0.405978749,1.036799916
