,BT12,BT16,CHLA04,CHLA05,CHLA06,CHLA266
AARD,0.16864226,0.160798901,0.324119047,1.086891278,0.28833683,1.114830136
ABCF3,1.183143265,0.13050465,0.144053713,0.275528116,0.166751495,1.060817581
ABCG2,0.075622335,1.178519296,0.31979016,0.274403408,1.040617728,0.107665985
ABHD15,1.00085937,0.101222111,0.362592651,0.562488518,1.07481765,0.227159697
ACAT1,1.078786913,0.313666837,1.057662319,0.00027362,0.171782272,0.506300082
ACN9,1.003697168,0.410044186,0.020840295,0.393674324,1.142280707,0.175793695
ACSBG1,0.313071642,0.004712841,1.108002011,0.130181317,0.520171583,1.026370545
ACSM5,0.450780033,0.183667985,0.553711476,1.017595964,1.005987998,0.274991461
ACTR8,0.260029108,1.171828434,1.06290675,0.037805734,0.126098956,0.28065757
ACYP2,1.06409096,0.460567972,1.096612737,0.069606826,0.099534646,0.323948277
ADAT1,1.144238974,0.377967636,1.00637363,0.428411324,0.109484408,0.078824625
ADCYAP1R1,0.133310246,0.300953904,0.000346302,0.225427316,1.010602268,1.2190928
ADGRA3,0.144770752,0.453905944,0.02965138,1.094971481,1.005107186,0.479161022
AGT,0.204290338,0.126381685,0.480880238,1.125669966,0.075659888,1.051121639
AIM2,1.187308607,0.017385019,0.14528258,1.097607212,0.049052399,0.168546558
ALB,0.122521123,1.054689803,0.082828107,0.07522279,1.219306058,0.20014603
ALDH3B2,0.107872788,0.393040689,0.004195677,1.043580455,1.177892332,0.155051701
ALDOC,0.110882648,0.366840718,0.274634828,0.040464815,1.075189151,1.134330724
ALOX12B,0.393564596,1.049668306,1.137344749,0.264860382,0.215091284,0.001289372
ANKRD34B,0.457960955,0.071210299,0.166071459,0.319632365,1.125865705,1.026912537
ANXA2P2,0.558177266,1.023748319,1.034071107,0.309809513,0.362045505,0.103354964
AP5B1,1.080804355,1.050428357,0.185286592,0.420400802,0.191298752,0.384012644
APOM,0.330035228,0.150166335,1.118618274,1.059565376,0.337815285,0.216999289
