,BT12,BT16,CHLA04,CHLA05,CHLA06,CHLA266
PABPC1,47005.08985,43250.69374,39875.62181,15453.98378,44672.0145,76432.38803
RPL13A,50666.97534,62482.54716,34414.99776,21064.019,41625.47075,41871.21037
PKM,48049.32176,37937.04651,38917.01382,30402.37301,37807.23174,25755.10633
RPLP0,33379.04221,45487.67166,25667.74846,15819.84074,33396.07758,34047.48298
MALAT1,30376.93957,16601.0557,30185.67714,37358.44188,26579.37641,23726.59673
RPS3,26772.76379,36962.49422,21901.39747,14045.69933,28320.39915,22652.26807
RPL13,27157.39069,32016.61343,21433.95642,14680.65089,22285.34168,24113.83818
NPM1,37057.75942,28327.95665,16630.77291,8174.052189,19717.13431,25183.19241
RPS18,24118.17412,35754.10393,19373.13741,9311.638167,23611.41989,19693.38038
RPS19,19037.53448,26301.13163,17381.70389,13701.67488,19858.70684,20674.02011
RPL5,17638.68908,30537.95973,17161.97346,10654.77448,20549.15579,21863.71623
RPL11,20019.71114,26685.56269,16568.67808,11114.60518,19688.4895,16272.36653
NONO,9705.874656,19318.89985,15650.94008,15847.70339,13147.17911,15476.82731
RPS9,16472.42375,20355.5176,11687.74358,8868.588269,15514.04671,15386.05764
RPL41,18118.65777,22529.18643,12759.18373,8941.132496,13883.02975,16797.3229
RPL10A,16399.88676,21447.41582,12364.15114,7772.477719,16074.8245,13653.63642
PTMS,7318.088044,14318.42719,18995.0593,22887.77466,13951.7206,12137.4719
SLC25A3,19640.6837,15399.53002,11658.69866,8390.724886,14007.043,14062.57397
RPL12,14680.249,21785.85685,10435.97106,5499.3952,15930.12424,12372.29183
ADAR,18225.82162,8231.782688,14039.40284,14513.84615,11495.47061,11313.40458
NACA,13516.73874,15597.13012,10416.72588,7942.011701,11571.06107,12599.21399
RPL23,12362.70962,19027.65152,10366.50196,6794.629693,11751.70749,14687.1572
RPL37,17120.67809,13522.82345,10059.77105,5676.136404,13669.52401,9327.24522
RPL31,12275.62599,15439.32538,9501.216562,5945.859034,10466.79792,10573.32967
RPL24,11908.44959,13957.57367,10632.2483,6084.601859,9725.376558,9918.218781
NORAD,4392.04801,10570.63509,10935.62121,9848.320766,14877.02597,8828.727326
RPL32,12436.18323,15704.37431,9104.079397,5603.937653,9523.3001,10181.53001
LAMP1,13510.77235,9457.965674,6370.957155,8793.779505,11799.60541,9743.863042
RPS25,10549.64041,12804.61895,8070.138229,5150.097287,9186.615819,9124.793353
TPM3,8371.682724,12437.91418,9336.985764,5069.391451,9214.9665,9055.377296
POLR2A,6034.256949,10056.20539,9227.80706,8968.966706,13211.27192,8557.221238
RPL35A,8988.334754,12599.65989,8410.374961,4999.299269,9166.701599,8916.280965
CBX6,7788.654611,11694.35565,9619.35586,5695.637174,14885.0962,2821.894252
RPS27,8350.286762,10557.38468,8479.325832,7055.981961,8705.881159,9028.146925
HLA-C,17340.214,57.65959169,8465.691985,7382.011855,12639.91354,8648.115925
DHX9,6582.020292,5715.089676,8725.260618,8841.74728,7889.864513,10259.70953
ADGRL1,3661.472463,8143.836335,11049.27571,5347.743159,7936.666563,8098.030237
PRRC2C,7927.510348,6084.081049,7206.946245,7698.994494,9698.156077,8781.530004
EIF3E,9098.989167,12023.1043,6751.190516,4040.679528,8740.708705,6656.205769
U2AF2,6777.32229,6189.522001,8714.522988,7772.754662,7912.291262,7573.064886
SUPT16H,4909.862456,7052.993963,8198.643351,6100.955115,8183.568904,10091.59909
PIEZO1,7326.322352,10551.40433,7195.349841,7709.67853,7550.176374,5035.063305
RPL35,9721.599282,11345.89997,6783.580469,4154.650216,6252.994592,8036.303012
HNRNPAB,9442.141257,6550.257416,7077.608826,7724.470371,5240.031246,8452.131399
GSTP1,8265.317728,10623.79749,6811.80367,6441.549931,4283.808412,7602.040107
CORO1C,6135.602546,2823.134175,6303.657601,8894.156246,7652.480394,11922.70833
DEK,3606.045381,6226.760726,8926.37141,7360.96986,6400.194234,10907.1086
JUNB,15720.21469,6415.847008,6240.690946,7543.968905,7259.849957,486.3996441
IFITM3,7345.542407,6234.807325,5677.025542,7786.886858,305.5007597,11905.85125
RPL34,7427.738059,9069.234947,6075.106321,3560.013904,6530.898756,5082.174938
MAZ,3360.210944,5877.092395,7249.285892,9946.821954,6225.25087,5818.687436
SHISA5,5561.889125,6342.716802,5893.723037,6077.682775,5968.883117,5951.877201
SETD5,3451.569089,6314.022712,7735.153621,5867.014606,4975.876825,5941.75147
RPS3A,6036.245003,7779.565492,5386.658951,3341.707355,6194.445244,5369.231007
RBBP7,5703.527568,4197.52379,5647.34831,7776.998233,2821.028337,6278.349191
RSL1D1,8537.486377,6976.163315,4864.873357,3283.089386,5342.539438,5966.459933
STT3A,5137.132226,5802.302819,5578.251399,5618.596948,4582.396052,6366.416597
H2AFY,7890.733167,4512.769297,5455.767427,5342.698584,2876.126242,5455.756432
NAA50,6113.031645,4313.95727,5018.906755,3460.170408,5578.637835,6973.745128
SNRPB,5501.733534,5701.768226,4964.949213,4756.717845,3601.250957,7125.465981
H1F0,3267.667136,4090.613157,6616.684403,9855.993609,6199.513696,55.7854713
KDM1A,2975.278022,4815.547651,5259.370574,6455.764016,4320.391074,4987.057255
RPS28,4900.563182,6532.257237,3974.878072,2581.713716,5053.508537,4862.605402
TNKS1BP1,4739.338873,4908.409886,5159.308817,4059.222615,9563.086053,835.1502983
SRSF6,4627.59608,4540.447544,5402.662363,5003.087868,5928.319898,3729.693869
HDAC2,4317.342363,4676.511474,4833.348166,5651.728611,3309.75652,6373.84935
GTF3C1,4905.45517,3344.861733,4039.666736,4356.17891,5236.515132,5887.153704
MDM2,4848.472852,6651.299895,2428.400196,5123.984527,4373.789825,3680.288138
SMARCC1,3573.214097,5962.252957,4332.782583,4778.319169,4635.558523,4582.000258
TAOK1,4434.962115,3661.182992,4829.60858,5646.931267,4704.67851,4419.186088
PPP1CB,6091.596234,4653.927358,4021.741422,4328.993372,3115.848742,5078.223972
SLC4A2,2969.197835,5622.721044,4573.779875,4393.294344,6622.131547,4273.936206
SF3A1,5789.711582,4227.877659,4363.397685,4583.192937,4758.824241,2841.145812
NUDT21,3232.150137,4483.248326,5834.669632,4422.832408,4535.971591,4345.833733
NISCH,4026.624188,4429.103441,4397.32359,4715.102942,6248.505626,2476.830957
PIK3C2A,2932.936207,3993.47728,5815.211169,4773.629118,4306.720433,4278.560885
RPL26,5766.569091,6965.615013,3886.304273,2390.029051,3988.581789,4587.135638
PKN1,1712.487436,6795.782103,4773.004983,3627.495542,3691.9836,4967.533873
TCF25,4006.82566,4213.294973,4799.942654,4158.540975,4020.970249,3390.499182
LRRC59,5546.281185,4204.517916,3866.009187,2999.708229,3956.563206,4250.285551
PCNP,3582.968161,4535.11019,4137.792504,3917.207552,3931.376229,4217.262981
GTF2I,2613.228563,3710.006337,4086.973056,5603.198217,4450.853809,3940.457385
SYMPK,4871.838742,4408.559005,3855.868469,3996.020664,3980.921522,3285.417009
SSR2,3914.475968,6322.657177,3606.101642,5090.550993,4046.85675,2328.136893
CHD2,4247.095225,3954.945987,3955.170297,4918.336924,3906.268875,3132.850962
NIPSNAP1,5689.955315,6913.313405,4221.874359,3628.936271,3420.77317,1753.047486
GIT1,3864.997591,5407.829207,2891.957651,3872.940503,2137.006743,4146.773384
NPDC1,1772.441166,4214.041425,3834.640436,5759.85215,3857.864622,3161.996737
BTBD2,3010.786408,3656.031985,4362.211373,3994.786814,3594.399167,3807.840474
EIF3G,4747.465438,4285.480218,3802.759608,2901.240168,3612.857909,3467.138242
MAP1LC3B,4995.66373,3332.881107,4105.031571,1987.530712,2884.208461,3899.504526
SLC25A39,3494.431247,3641.653373,3165.477954,2353.252481,4990.439695,4102.780281
UGGT1,3572.459783,4883.516897,2572.927673,4303.325863,3555.851144,3415.581588
ADNP,2641.702806,4315.744731,3270.895706,3783.112772,3375.381651,3704.121156
SNX17,4203.440535,3270.800243,3349.443798,2716.529795,3538.915773,3337.463972
SH3PXD2B,531.2311837,3637.202686,3712.973864,5697.573159,2367.450992,3011.102855
DOT1L,3613.375248,2823.634929,3922.680211,5366.589993,1615.437582,2983.090713
NELFCD,4306.835864,3287.868123,3338.958351,3230.507525,2425.025178,3184.6682
ZFAND3,4180.436243,2199.362693,3393.153568,3498.359846,2689.786459,3117.68752
CIZ1,2556.026117,3056.590777,3191.025201,3859.806544,3297.86839,3284.010448
GTPBP4,4428.087353,3323.981597,2785.053927,1784.66589,3102.250991,3340.701798
PIK3R3,729.1628425,1557.877295,3295.223738,5120.811813,3363.392358,3088.606597
H6PD,1012.746717,2910.332813,2615.877307,3790.1881,5220.678297,3462.296951
DNAJC8,2918.836215,3388.178869,3022.018573,3277.263606,3168.279098,3163.350293
HLTF,4293.308035,2893.554861,5050.191146,3230.168314,1534.055787,2715.299913
NCBP2,2689.248641,4113.943075,3582.141555,3048.009487,3055.059513,2181.152146
IVD,3828.58843,2285.844965,2921.502902,3420.929446,3114.336367,2960.322692
ATP5MC2,3647.717341,4322.309397,3296.596112,2485.401956,2710.01991,1678.653961
PPP4R1,1404.733495,3269.400257,2944.11466,4247.616057,2368.172716,3043.596384
SMARCD3,1669.881734,2384.246735,3238.714632,3335.485341,4129.59131,2742.707927
DDX39A,1772.456634,3047.106798,3629.397416,4339.548139,2455.974789,2901.401363
SPIN1,1622.697063,2667.450331,3102.262997,2810.020743,4797.573198,3609.36404
PYGL,27.59441876,3918.366641,1453.306966,3051.055812,2754.777913,5709.104954
TPD52L2,2847.647866,3047.459576,2799.799795,2310.547003,3515.961405,2937.33327
CMBL,3027.48735,3193.488999,2183.398357,4336.620325,2678.337435,1311.790325
SMARCD1,2580.70946,2606.439795,3052.695405,3688.753787,2027.687943,3161.988155
MLLT6,625.8212589,4555.517268,3465.842427,2945.34662,2204.874621,2640.490187
MKLN1,2469.498979,1701.883038,2687.604788,2827.251156,3137.313104,3819.389902
PSMD13,2798.562089,3398.842575,2672.311707,1810.335466,2646.760703,2831.203631
PI4KA,2592.079113,2848.165418,2610.577397,3703.55641,2851.311908,1765.730812
CYTH2,1552.981757,3122.253556,3042.771815,3855.199372,2383.363949,2232.762742
SMO,1337.298318,2812.166384,2350.200356,3385.061924,2599.592924,4502.57389
TRIM56,3936.349731,2557.559019,948.9622601,2919.89053,2786.737951,2110.769829
GATAD2A,2675.393533,3444.917983,2648.052011,2121.257021,2549.085668,3038.656435
COX7A2L,3595.202755,2533.595856,2733.755512,1717.016374,2859.395683,2183.086243
SELENOW,1478.438294,2191.367696,2932.357432,2306.911995,2864.347438,3803.551329
ASXL2,2422.59265,2726.302107,1937.640808,3253.232288,2424.841039,2850.582205
MED24,2603.218572,3041.184034,2340.252836,2756.746937,2028.641139,2502.349942
PMPCB,3313.342902,2498.755254,2667.178701,1385.035358,1810.29251,2595.17248
SWAP70,2885.183721,2541.009676,2459.286265,679.5944715,2500.608687,4901.271189
NPC2,2681.808335,1330.499705,2547.867619,2192.96371,2477.853099,3390.370038
GDE1,2482.120848,2449.117998,1781.023134,3432.775243,2516.274224,2821.5207
AKT1S1,3462.739602,2559.192717,2398.411964,1773.544799,2994.192131,2356.376976
AC006538.1,2440.549103,2263.725451,2701.384961,2473.435916,2523.399517,2461.204196
SRI,897.3888428,2437.399649,3711.50734,2668.545035,2417.919334,2155.810829
BCCIP,3117.055267,2433.905289,2327.984196,1592.017507,1958.444602,2599.826934
PRR12,2408.343587,1712.357294,2632.972114,2087.067627,3008.09993,2345.699503
